pota,jaff,name,location,locid,type,level,namek,lat,lng
JA-1122,,Doho,Ibaraki,JP-IB,Provincial Park,0,洞峰公園,36.061855,140.122921
JA-1243,,The Tokyo Rinkai Disaster Pre,Tokyo,JP-TK,Provincial Park,0,東京臨海広域防災公園（都立公園）,35.634579,139.797417
JA-1812,,Tokyo Port Wild Bird Park,Tokyo,JP-TK,Provincial Park,0,東京港野鳥公園,35.58392545,139.7609929
JA-1276,,Higashifushimi,Tokyo,JP-TK,Provincial Park,0,東伏見公園,35.728673,139.557443
JA-1804,,Higashi Yashio Greenway,Tokyo,JP-TK,Provincial Park,0,東八潮緑道公園,35.61930363,139.7715374
JA-1248,,Higashi Shirahige,Tokyo,JP-TK,Provincial Park,0,東白鬚公園,35.733583,139.814045
JA-1127,,Higashimachi Sports,Ibaraki,JP-IB,Provincial Park,0,東町運動公園,36.38064,140.449246
JA-1279,,Higashiyamato Minami,Tokyo,JP-TK,Provincial Park,0,東大和南公園,35.734544,139.422215
JA-1278,,Higashiyamato,Tokyo,JP-TK,Provincial Park,0,東大和公園,35.755437,139.432139
JA-1277,,Higashimurayama Chuo,Tokyo,JP-TK,Provincial Park,0,東村山中央公園,35.747605,139.459328
JA-1468,,Higashi-mikawa Furusato,Aichi,JP-AI,Provincial Park,0,東三河ふるさと公園,34.838661,137.308383
JA-1306,,Higashitakane Shinrin,Kanagawa,JP-KN,Provincial Park,0,東高根森林公園,35.604328,139.586632
JA-1699,,Higashi,Fukuoka,JP-FO,Provincial Park,0,東公園,33.60581,130.420238
JA-1585,,Lake Togo Hawai Seaside,Tottori,JP-TT,Provincial Park,0,東郷湖羽合臨海公園,35.491894,133.885614
JA-1825,,Tokai Greenway,Tokyo,JP-TK,Provincial Park,0,東海緑道公園,35.57718905,139.7593608
JA-1820,,Tokai Port Park,Tokyo,JP-TK,Provincial Park,0,東海ふ頭公園,35.57771582,139.7557697
JA-1247,,Higashi Ayase,Tokyo,JP-TK,Provincial Park,0,東綾瀬公園,35.771049,139.831091
JA-1102,,Azumagaoka,Fukushima,JP-FS,Provincial Park,0,東ヶ丘公園,37.631268,140.969359
JA-1602,,Manyo,Shimane,JP-SM,Provincial Park,0,島根県立万葉公園,34.67903,131.81429
JA-1600,,Hamayama,Shimane,JP-SM,Provincial Park,0,島根県立浜山公園,35.378817,132.706568
JA-1601,,Iwami Seaside,Shimane,JP-SM,Provincial Park,0,島根県立石見海浜公園,34.957866,132.144141
JA-1363,,Shimami Ryokuchi,Niigata,JP-NI,Provincial Park,0,島見緑地,37.970311,139.206426
JA-1684,,Tosa Seinan Daikibo,Kochi,JP-KC,Provincial Park,0,土佐西南大規模公園,33.024227,133.016165
JA-1724,,Tabira,Nagasaki,JP-NS,Provincial Park,0,田平公園,33.35435,129.575855
JA-1215,,Tonogayato Gardens,Tokyo,JP-TK,Provincial Park,0,殿ヶ谷戸庭園,35.698632,139.481894
